2016-07-29 22:00:47,380 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-07-29 22:03:42,490 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: automationPractice:automationPractice:0.0.1-SNAPSHOT @ C:\Users\Bubba\workspace\practice\automationPractice\pom.xml.
2016-07-29 22:03:42,778 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-29 22:03:42,783 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Bubba\workspace\practice\automationPractice\src\main\resources
2016-07-29 22:03:42,786 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-29 22:03:42,789 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Bubba\workspace\practice\automationPractice\src\test\resources
2016-07-29 22:03:42,796 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /automationPractice/src
2016-07-29 22:03:42,797 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /automationPractice/src/test/java because it overlaps with /automationPractice/src
2016-07-29 22:03:42,872 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-07-29 22:03:43,253 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: automationPractice:automationPractice:0.0.1-SNAPSHOT @ C:\Users\Bubba\workspace\practice\automationPractice\pom.xml.
2016-07-29 22:03:43,472 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /automationPractice/src
2016-07-29 22:03:43,472 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /automationPractice/src/test/java because it overlaps with /automationPractice/src
2016-07-29 22:03:43,515 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-07-29 22:03:43,902 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-29 22:03:43,907 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Bubba\workspace\practice\automationPractice\src\main\resources
2016-07-29 22:03:43,910 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-29 22:03:43,918 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Bubba\workspace\practice\automationPractice\src\test\resources
2016-07-29 22:14:20,430 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-29 22:14:20,435 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Bubba\workspace\practice\automationPractice\src\main\resources
